ISO_Code,Name,Official Name,UN Country Code,Population MM,GDP B Dollars,GNI B PPP,GDP per Capita,Gini Index,Primary Energy Quads,MM BTU per Capita,Teen Birth Rate,Percent Female Legislators,Infant Mortality,Human Development Index,Corruption Perceptions Index,Happiness Index,Happy Planet Index,Freedom Score,Freedom Status,Economic Freedom Index,STC Health Index,Prosperity Index,Colonial End,Colonial Years,Colonial Transformation
SOM,Somalia,the Federal Republic of Somalia,706,15.893219,4.98844144,15.56896646,986.7254508,36.8,,,95.2054,24.36363636,74,,13,,,7,Not Free,,0,35.1,1960,105,50
SPM,St. Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,
SRB,Serbia,the Republic of Serbia,688,6.908224,53.33501643,129.7158405,19366.75554,36.2,,73.78808843,13.5828,37.65182186,4.6,0.806,38,6.078,53.2,64,Partly Free,67.2,0.74,62.3,,,
SSD,S. Sudan,the Republic of South Sudan,728,11.193729,,,,44.1,,2.632662923,56.8264,28.45953003,62.4,0.433,11,,,2,Not Free,,0,28.7,,,
STP,São Tomé and Principe,the Democratic Republic of Sao Tome and Principe,678,0.219161,0.47291447,0.931163015,4272.250469,56.3,,,92.0652,14.54545455,23.5,0.625,45,,,84,Free,55.9,0.48,54.7,,,
SUR,Suriname,the Republic of Suriname,740,0.586634,2.884248048,8.228725245,16728.51575,,,49.49731085,59.6242,31.37254902,16.1,0.738,39,,,79,Free,46.4,0.57,56.4,,,
SVK,Slovakia,the Slovak Republic,703,5.458827,105.1725645,172.8020646,32014.55326,25,0.59,119.195008,26.1864,20,4.7,0.86,52,6.331,46.6,90,Free,66.3,0.85,70.6,,,
SVN,Slovenia,the Republic of Slovenia,705,2.100126,53.58960958,83.6278815,40124.26023,24.6,0.26,125.9891038,3.5288,27.77777778,1.7,0.917,57,6.461,47.9,95,Free,68.3,0.88,74.8,,,
SWE,Sweden,the Kingdom of Sweden,752,10.353442,541.2200595,586.2996388,54929.52734,30,2.09,202.4948607,5.1692,47.27793696,2.1,0.945,85,7.363,50.5,10,0 Free,74.7,0.93,83.1,,,
SWZ,eSwatini,the Kingdom of Eswatini ,748,1.160164,3.972728948,9.250649826,8862.438736,54.6,,,74.0158,7.246376812,38.6,0.611,32,4.308,35.3,19,Not Free,55.1,0.28,46.3,1968,88,55
SXM,Sint Maarten,,,0.040812,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,the Republic of Seychelles,690,0.098462,1.059886364,2.376569624,25758.01744,32.1,,,60.3988,21.21212121,12.3,0.796,70,,,77,Free,66.3,0.84,63.8,,,
SYR,Syria,the Syrian Arab Republic,760,17.500657,22.77788217,,,,,22.91064802,37.3104,13.2,17.9,0.567,13,,,1,Not Free,,0.62,37.1,1946,28,48
TCA,Turks and Caicos Is.,,,0.038718,0.924583,1.131215743,22277.49785,,,,,,,,,,,,,,,,,,
TCD,Chad,the Republic of Chad,148,16.425859,10.8290768,24.1701966,1601.761727,,,,154.7388,14.88095238,69.1,0.398,20,4.355,30.4,17,Not Free,50.4,0,33.5,1960,60,59
TGO,Togo,the Togolese Republic,768,8.278737,7.574636979,18.44137259,2222.670302,,,18.35312079,88.2846,16.48351648,45.8,0.515,30,4.107,37.3,43,Partly Free,57.5,0.22,44.4,1960,76,58
THA,Thailand,the Kingdom of Thailand,764,69.799978,501.6436535,1235.88679,18226.0057,34.9,4.85,78.13626846,44.4696,16.2,7.7,0.777,35,5.985,52.9,30,Not Free,69.7,0.81,60.5,1938,83,16
TJK,Tajikistan,the Republic of Tajikistan,762,9.537642,8.194150302,42.90823721,3856.76065,,,13.48642882,57.8652,19.04761905,29.6,0.668,25,5.466,55.2,8,Not Free,55.2,0.55,51.9,,,
TKM,Turkmenistan,Turkmenistan,795,6.031187,45.23142857,92.71282992,,,1.33,194.1862946,24.0468,25,36.3,0.715,19,5.066,33,2,Not Free,47.4,0.52,52,,,
TLS,Timor-Leste,the Democratic Republic of Timor-Leste,626,1.318442,1.9021568,6.836651801,4139.750669,,,,30.943,38.46153846,38.1,0.606,41,,,72,Free,44.7,0.47,,,,
TON,Tonga,the Kingdom of Tonga,776,0.105697,0.488829964,0.767199339,6692.649681,,,,13.9984,7.407407407,14.3,0.725,,,,79,Free,57.5,0.71,,,,
TTO,Trinidad and Tobago,the Republic of Trinidad and Tobago,780,1.399491,21.5880375,34.67895507,25014.37676,,0.59,569.9923668,28.5776,30.95238095,15.7,0.796,41,,31.6,82,Free,59,0.78,61,,,
TUN,Tunisia,the Republic of Tunisia,788,11.818618,41.62034999,124.6708392,10818.81689,,,37.71853421,7.859,22.58064516,14.5,0.74,44,4.596,43.9,71,Free,56.6,0.75,54.9,1956,87,45
TUR,Turkey,the Republic of Turkey,792,84.339067,719.9548217,2342.070802,28113.73658,41.9,5.96,65.5313035,24.5526,17.44966443,8.6,0.82,38,4.948,41.3,32,Not Free,64,0.81,55.7,1923,85,11
TUV,Tuvalu,Tuvalu,798,0.011792,0.04885555,0.075795706,4651.221147,,,,,6.25,20.2,,,,,93,Free,,0.87,,,,
TWN,Taiwan,,,,,,,,4.57,,,,,,68,6.584,43.2,94,Free,78.6,0.8,76.9,1945,321,66
TZA,Tanzania,the United Republic of Tanzania,834,59.734213,62.40970911,159.8167148,2780.055548,40.5,,19.72530277,115.467,36.8956743,36,0.529,39,3.623,37,34,Partly Free,61.3,0.25,49.5,1961,140,64
UGA,Uganda,the Republic of Uganda,800,45.741,37.60036818,103.1640258,2293.480728,42.8,,,113.3068,34.8583878,33.4,0.544,27,4.636,44.8,34,Not Free,58.6,0.29,46.8,1962,72,61
UKR,Ukraine,Ukraine,804,44.134693,155.4989891,558.9506376,13056.70207,26.6,3.14,92.63632215,22.2942,20.51886792,7.2,0.779,32,4.875,40.9,60,Partly Free,56.2,0.72,57.9,,,
UMI,U.S. Minor Outlying Is.,,,,,,,,,,,,,,,,,,,,,,,,
