Country,Case fatality,Deaths per 100k,Iso
Madagascar,2.10%,5.14,MDG
Uzbekistan,0.70%,4.89,UZB
Vanuatu,0.10%,4.78,VUT
Ghana,0.90%,4.71,GHA
Nicaragua,1.60%,3.7,NIC
Mali,2.20%,3.67,MLI
Guinea,1.20%,3.56,GIN
Togo,0.70%,3.5,TGO
Cote d'Ivoire,0.90%,3.16,CIV
Eritrea,1.00%,2.9,ERI
Bhutan,0.00%,2.72,BTN
Central African Republic,0.70%,2.34,CAF
Burkina Faso,1.80%,1.89,BFA
Congo (Kinshasa),1.50%,1.63,COD
Sierra Leone,1.60%,1.58,SLE
Nigeria,1.20%,1.53,NGA
Tanzania,2.00%,1.42,TZA
Benin,0.60%,1.34,BEN
Tajikistan,0.70%,1.31,TJK
Niger,3.30%,1.3,NER
South Sudan,0.80%,1.23,SSD
Chad,2.50%,1.18,TCD
Burundi,0.10%,0.32,BDI
"Korea, North",600.00%,0.02,PRK
